reaction_id,fluxes,reduced_costs
EX_h2o_e,8.874666919988538,0.0
EX_co2_e,6.505714607313013,0.0
EX_pi_e,0.09802430992256868,0.0
EX_meoh_e,2.50351626636721e-05,0.0
EX_mobd_e,-5.883461737742939e-09,0.0
EX_cu2_e,-8.112180987426486e-09,0.0
EX_bo3_e,-9.80528323957806e-09,0.0
EX_na1_e,-3.198720000000001e-08,-0.0
EX_mn2_e,-4.732131419670871e-08,-0.0
EX_zn2_e,-1.9776972881216486e-07,0.0
EX_k_e,-4.158336000000001e-07,0.0
EX_cobalt2_e,-1.3799110540371432e-06,0.0
EX_ca2_e,-3.1354815961361627e-06,0.0
EX_cl_e,-6.270963192272325e-06,0.0
EX_mg2_e,-0.0033399230051209465,0.0
EX_fe3_e,-0.010257508036764958,0.0
EX_so4_e,-0.027880700393789343,0.0
EX_o2_e,-0.1,-0.0
EX_nh4_e,-1.133887591817975,0.0
EX_h_e,-9.80234693179177,0.0
EX_for_e,-12.184455841065956,0.0
EX_photon_purple_e,-61.45879568872832,0.0
